REGION3,REGION2,REGION1,cluster_id,east_fraction,multiplier
Breisgau-Hochschwarzwald,Freiburg,Baden-Württemberg,5,0.0,0.90
Emmendingen,Freiburg,Baden-Württemberg,5,0.0,0.90
Freiburg im Breisgau,Freiburg,Baden-Württemberg,5,0.0,0.90
Konstanz,Freiburg,Baden-Württemberg,5,0.0,0.90
Lörrach,Freiburg,Baden-Württemberg,5,0.0,0.90
Ortenaukreis,Freiburg,Baden-Württemberg,5,0.0,0.90
Rottweil,Freiburg,Baden-Württemberg,5,0.0,0.90
Schwarzwald-Baar-Kreis,Freiburg,Baden-Württemberg,5,0.0,0.90
Tuttlingen,Freiburg,Baden-Württemberg,5,0.0,0.90
Waldshut,Freiburg,Baden-Württemberg,5,0.0,0.90
Baden-Baden,Karlsruhe,Baden-Württemberg,5,0.0,0.90
Calw,Karlsruhe,Baden-Württemberg,5,0.0,0.90
Enzkreis,Karlsruhe,Baden-Württemberg,5,0.0,0.90
Freudenstadt,Karlsruhe,Baden-Württemberg,5,0.0,0.90
Heidelberg,Karlsruhe,Baden-Württemberg,5,0.0,0.90
Karlsruhe,Karlsruhe,Baden-Württemberg,5,0.0,0.90
Mannheim,Karlsruhe,Baden-Württemberg,5,0.0,0.90
Neckar-Odenwald-Kreis,Karlsruhe,Baden-Württemberg,5,0.0,0.90
Pforzheim,Karlsruhe,Baden-Württemberg,5,0.0,0.90
Rastatt,Karlsruhe,Baden-Württemberg,5,0.0,0.90
Rhein-Neckar-Kreis,Karlsruhe,Baden-Württemberg,5,0.0,0.90
Böblingen,Stuttgart,Baden-Württemberg,5,0.0,0.90
Esslingen,Stuttgart,Baden-Württemberg,5,0.0,0.90
Göppingen,Stuttgart,Baden-Württemberg,5,0.0,0.90
Heidenheim,Stuttgart,Baden-Württemberg,0,0.0,0.90
Heilbronn,Stuttgart,Baden-Württemberg,5,0.0,0.90
Hohenlohekreis,Stuttgart,Baden-Württemberg,5,0.0,0.90
Ludwigsburg,Stuttgart,Baden-Württemberg,5,0.0,0.90
Main-Tauber-Kreis,Stuttgart,Baden-Württemberg,5,0.0,0.90
Ostalbkreis,Stuttgart,Baden-Württemberg,5,0.0,0.90
Rems-Murr-Kreis,Stuttgart,Baden-Württemberg,5,0.0,0.90
Schwäbisch Hall,Stuttgart,Baden-Württemberg,5,0.0,0.90
Stuttgart,Stuttgart,Baden-Württemberg,5,0.0,0.90
Alb-Donau-Kreis,Tübingen,Baden-Württemberg,5,0.0,0.90
Biberach,Tübingen,Baden-Württemberg,5,0.0,0.90
Bodenseekreis,Tübingen,Baden-Württemberg,5,0.0,0.90
